round,winner,results,year,gender,player1,player2,firstServe1,firstServe2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,break1,break2,return1,return2,net1,net2
Third,Florian Mayer,7-5 6-2 6-2,2014,m,Florian Mayer,Jerzy Janowicz,68%,53%,91%,69%,68%,41%,45%,0%,44%,16%,92%,73%
Third,Novak Djokovic,6-3 6-3 7-5,2014,m,Novak Djokovic,Denis Istomin,63%,65%,78%,73%,69%,33%,63%,100%,41%,26%,76%,33%
Third,Fabio Fognini,7-5 6-4 6-4,2014,m,Fabio Fognini,Sam Querrey,60%,63%,75%,66%,72%,50%,40%,25%,40%,26%,64%,48%
Second,Donald Young,6-4 2-6 6-3 4-6 7-5,2014,m,Donald Young,Andreas Seppi,61%,57%,66%,68%,43%,52%,40%,33%,39%,43%,65%,60%
Second,Rafael Nadal,6-2 6-4 6-2,2014,m,Rafael Nadal,Thanasi Kokkinakis,74%,67%,82%,63%,58%,38%,50%,0%,45%,24%,79%,80%
Second,Teimuraz Gabashvili,7-6(1) 3-6 2-6 6-4 6-4,2014,m,Teimuraz Gabashvili,Fernando Verdasco,68%,60%,64%,70%,57%,54%,29%,60%,36%,38%,60%,58%
Second,Stephane Robert,7-6(3) 6-1 6-7(3) 6-1,2014,m,Stephane Robert,Michal Przysiezny,58%,58%,78%,66%,58%,44%,35%,29%,44%,31%,87%,61%
Second,Roberto Bautista-Agut,4-6 6-3 5-7 6-4 7-5,2014,m,Roberto Bautista-Agut,Juan Martin Del Potro,69%,72%,77%,72%,45%,50%,63%,24%,34%,33%,71%,52%
Second,Jo-Wilfried Tsonga,7-6(6) 6-4 6-4,2014,m,Jo-Wilfried Tsonga,Thomaz Bellucci,64%,45%,86%,65%,55%,59%,33%,25%,39%,25%,67%,72%
Second,Gilles Simon,4-6 7-6(3) 6-7(5) 6-1 6-2,2014,m,Gilles Simon,Marin Cilic,49%,50%,73%,68%,45%,43%,83%,47%,44%,41%,70.0%,62.0%
Second,Gael Monfils,7-6(2) 7-5 6-2,2014,m,Gael Monfils,Jack Sock,62%,58%,84%,70%,66%,47%,36%,100%,40%,23%,77%,55%
Second,Martin Klizan,6-4 6-3 5-7 7-6(2),2014,m,Martin Klizan,Blaz Rola,58%,63%,73%,72%,69%,44%,36%,75%,38%,28%,33.0%,50.0%
Second,Roger Federer,6-2 6-1 7-6(4),2014,m,Roger Federer,Blaz Kavcic,76%,62%,78%,52%,50%,47%,55%,50%,49%,29%,79%,31%
Second,Benoit Paire,6-7(5) 6-7(5) 6-4 6-2 6-2,2014,m,Benoit Paire,Nick Kyrgios,50%,66%,84%,70%,59%,43%,29%,20%,39%,29%,88%,60%
Second,Grigor Dimitrov,6-3 6-3 7-6(11),2014,m,Grigor Dimitrov,Yen-Hsun Lu,59%,70%,86%,58%,46%,54%,24%,50%,43%,30%,56%,72%
Second,Feliciano Lopez,6-3 7-6(6) 6-4,2014,m,Feliciano Lopez,Michael Berrer,62%,68%,75%,66%,62%,52%,36%,50%,38%,30%,81%,61%
Second,Andy Murray,6-2 6-2 7-5,2014,m,Andy Murray,Vincent Millot,59%,55%,80%,46%,55%,44%,47%,75%,55%,31%,100%,60%
Second,Milos Raonic,7-6(9) 6-4 6-4,2014,m,Milos Raonic,Victor Hanescu,64%,67%,85%,72%,62%,59%,33%,0%,32%,23%,68%,70%
Second,Kei Nishikori,6-1 6-1 7-6(3),2014,m,Kei Nishikori,Dusan Lajovic,64%,70%,83%,58%,52%,30%,50%,20%,51%,28%,71%,57%
Second,Florian Mayer,6-4 3-6 6-3 3-6 6-3,2014,m,Florian Mayer,Mikhail Youzhny,60%,55%,78%,74%,65%,59%,36%,43%,33%,28%,69%,67%
Second,Vasek Pospisil,3-6 7-6(6) 7-6(9) 6-1,2014,m,Vasek Pospisil,Matthew Ebden,60%,68%,77%,75%,61%,48%,80%,27%,34%,30%,64%,74%
Second,Jerzy Janowicz,4-6 7-6(3) 7-6(5) 6-3,2014,m,Jerzy Janowicz,Pablo Andujar,67%,79%,71%,64%,48%,67%,27%,27%,35%,36%,61%,65%
Second,Tomas Berdych,6-4 6-1 6-3,2014,m,Tomas Berdych,Kenny de Schepper,64%,63%,88%,62%,63%,32%,63%,26.0%,49%,21%,84%,56%
Second,Sam Querrey,6-2 6-3 6-4,2014,m,Sam Querrey,Ernests Gulbis,72%,46%,88%,66%,55%,51%,56%,33%,42%,21%,55%,55%
Second,Novak Djokovic,6-0 6-4 6-4,2014,m,Novak Djokovic,Leonardo Mayer,66%,52%,82%,64%,74%,41%,83%,32.0%,47%,21%,56%,64%
Second,Kevin Anderson,6-4 6-3 6-4,2014,m,Kevin Anderson,Dominic Thiem,65%,59%,83%,76%,64%,52%,60%,0%,34%,24%,80%,40%
Second,Stanislas Wawrinka,6-3 6-3 6-7(4) 6-4,2014,m,Stanislas Wawrinka,Alejandro Falla,56%,60%,83%,69%,56%,46%,35%,29%,40%,29%,79%,62%
Second,David Ferrer,7-6(2) 5-7 6-0 6-3,2014,m,David Ferrer,Adrian Mannarino,68%,55%,70%,58%,47%,41%,53%,50%,50%,37%,95%,58%
Second,Tommy Robredo,6-3 6-7(4) 6-1 7-6(6),2014,m,Tommy Robredo,Julien Benneteau,58%,62%,74%,71%,63%,46%,31%,9%,39%,30%,76%,65%
Second,Fabio Fognini,7-5 6-4 3-6 6-2,2014,m,Fabio Fognini,Jarkko Nieminen,58%,65%,74%,66%,48%,50%,33%,13%,39%,37%,82%,63%
Second,Denis Istomin,7-6(3) 4-6 6-1 6-4,2014,m,Denis Istomin,Dmitry Tursunov,54%,53%,73%,74%,67%,48%,63%,30%,38%,30%,78%,63%
Second,Edouard Roger-Vasselin,7-6(1) 6-4 4-6 6-1,2014,m,Edouard Roger-Vasselin,Guillermo Garcia-Lopez,57%,51%,70%,72%,54%,43%,41%,31%,42%,37%,69.0%,58.0%
Second,Jeremy Chardy,7-5 7-6(5) 6-7(3) 7-6(5),2014,m,Jeremy Chardy,Alexandr Dolgopolov,60%,71%,77%,70%,46%,47%,36%,33%,37%,35%,63%,79%
Second,Damir Dzumhur,4-6 4-6 6-3 4-1 ret.,2014,m,Damir Dzumhur,Ivan Dodig,51%,55%,75%,76%,57%,49%,60%,43%,36%,34%,67%,63%
Second,Richard Gasquet,7-6(3) 6-4 6-4,2014,m,Richard Gasquet,Nikolay Davydenko,58%,77%,71%,59%,50%,44%,55%,80%,45%,38%,67%,75%
First,Rafael Nadal,6-4 ret.,2014,m,Rafael Nadal,Bernard Tomic,62%,71%,88%,75%,60%,38%,100%,33.0%,36%,23%,100%,60%
First,Roger Federer,6-4 6-4 6-2,2014,m,Roger Federer,James Duckworth,58%,52%,89%,75%,58%,43%,24%,0%,40%,24%,82%,56%
First,Teimuraz Gabashvili,6-7(3) 6-4 6-2 6-0,2014,m,Teimuraz Gabashvili,Sergiy Stakhovsky,58%,55%,74%,69%,50%,36%,53%,50%,46%,36%,63.0%,59.0%
First,Feliciano Lopez,6-4 6-4 7-6(2),2014,m,Feliciano Lopez,Somdev Devvarman,65%,52%,81%,63%,55%,56%,57%,29%,40%,28%,69.0%,60.0%
First,Gael Monfils,6-4 6-4 6-4,2014,m,Gael Monfils,Ryan Harrison,64%,62%,86%,72%,64%,49%,75%,45.0%,37%,22%,82%,65%
First,Marin Cilic,4-6 4-6 6-3 6-3 6-2,2014,m,Marin Cilic,Marcel Granollers,58%,61%,81%,70%,60%,47%,63%,67%,39%,28%,68%,69%
First,Martin Klizan,6-2 7-6(6) ret.,2014,m,Martin Klizan,John Isner,54%,78%,83%,69%,81%,40%,40%,0%,37%,18%,33%,50%
First,Jack Sock,7-6(5) 5-7 6-2 6-4,2014,m,Jack Sock,Tobias Kamke,50%,49%,73%,77%,58%,51%,40%,17%,36%,34%,76.0%,49.0%
First,Vincent Millot,7-5 4-6 6-7(4) 6-1 6-3,2014,m,Vincent Millot,Wayne Odesnik,57%,67%,66%,60%,48%,41%,42%,35%,46%,42%,73%,59%
First,Thanasi Kokkinakis,7-6(4) 0-6 7-6(3) 6-2,2014,m,Thanasi Kokkinakis,Igor Sijsling,54%,59%,70%,78%,53%,45%,60%,44%,36%,38%,61%,64%
First,Fernando Verdasco,5-7 6-3 6-2 6-3,2014,m,Fernando Verdasco,Ze Zhang,61%,58%,84%,69%,53%,53%,36%,20%,38%,28%,64%,59%
First,Victor Hanescu,7-6(5) 7-6(5) 6-3,2014,m,Victor Hanescu,Peter Gojowczyk,66%,55%,76%,77%,56%,47%,33%,17%,37%,31%,83%,71%
First,Stephane Robert,7-6(3) 6-3 6-0,2014,m,Stephane Robert,Aljaz Bedene,46%,54%,76%,69%,55%,18%,53%,80%,54%,35%,92%,60%
First,Roberto Bautista-Agut,6-2 6-1 6-1,2014,m,Roberto Bautista-Agut,Tim Smyczek,82%,61%,74%,52%,64%,29%,44%,50%,57%,28%,75.0%,60.0%
First,Jo-Wilfried Tsonga,7-5 6-3 6-3,2014,m,Jo-Wilfried Tsonga,Filippo Volandri,62%,57%,73%,63%,74%,47%,38%,50%,44%,27%,80%,65%
First,Juan Martin Del Potro,6-7(1) 6-3 6-4 6-4,2014,m,Juan Martin Del Potro,Rhyne Williams,64%,57%,84%,80%,56%,51%,50%,50%,32%,26%,75%,67%
First,Donald Young,6-7(4) 7-6(2) 6-2 1-0 ret.,2014,m,Donald Young,Robin Haase,73%,67%,75%,67%,55%,44%,29%,25%,40%,30%,73%,87%
First,Blaz Kavcic,6-7(3) 4-6 6-1 2-0 ret.,2014,m,Blaz Kavcic,Radek Stepanek,63%,51%,66%,60%,58%,48%,43%,36%,46%,37%,40%,69%
First,Andreas Seppi,7-6(4) 6-3 5-7 5-7 7-5,2014,m,Andreas Seppi,Lleyton Hewitt,59%,51%,70%,84%,55%,44%,39%,54%,36%,36%,73%,57%
First,Thomaz Bellucci,4-6 6-3 7-6(5) ret.,2014,m,Thomaz Bellucci,Julian Reister,53%,60%,75%,75%,51%,43%,57%,50%,38%,36%,82%,42%
First,Kei Nishikori,6-3 5-7 6-2 4-6 6-2,2014,m,Kei Nishikori,Marinko Matosevic,66%,61%,72%,66%,52%,43%,47%,33%,43%,35%,69%,53%
First,Yen-Hsun Lu,6-3 6-2 6-1,2014,m,Yen-Hsun Lu,Jimmy Wang,62%,63%,70%,50%,38%,32%,47%,43%,56%,42%,71.0%,67.0%
First,Milos Raonic,7-6(2) 6-1 4-6 6-2,2014,m,Milos Raonic,Daniel Gimeno-Traver,64%,56%,86%,63%,47%,46%,35%,50%,44%,28%,70%,67%
First,Grigor Dimitrov,6-7(7) 6-4 6-4 6-3,2014,m,Grigor Dimitrov,Bradley Klahn,57%,58%,89%,72%,65%,51%,50%,23.0%,37%,21%,70.0%,59.0%
First,Benoit Paire,7-6(12) 6-3 6-4,2014,m,Benoit Paire,Frank Dancevic,57%,59%,90%,73%,48%,45%,25%,25%,38%,28%,63%,47%
First,Dusan Lajovic,6-4 7-6(9) 4-6 6-3,2014,m,Dusan Lajovic,Lucas Pouille,61%,61%,66%,66%,58%,42%,50%,50%,43%,37%,47%,59%
First,Blaz Rola,6-4 6-2 7-5,2014,m,Blaz Rola,Federico Delbonis,68%,63%,83%,66%,39%,47%,44%,0%,41%,31%,nan%,nan%
First,Nick Kyrgios,6-3 6-7(5) 6-2 7-6(2),2014,m,Nick Kyrgios,Benjamin Becker,54%,53%,91%,68%,44%,53%,75%,43%,39%,31%,63%,100%
First,Michal Przysiezny,6-3 7-6(4) 7-5,2014,m,Michal Przysiezny,Horacio Zeballos,69%,60%,79%,72%,61%,45%,63%,50%,39%,27%,72.0%,60.0%
First,Andy Murray,6-1 6-1 6-3,2014,m,Andy Murray,Go Soeda,69%,61%,80%,62%,61%,21%,54%,36.0%,54%,25%,80%,69%
First,Michael Berrer,6-4 7-5 6-1,2014,m,Michael Berrer,Michael Llodra,63%,72%,85%,68%,70%,44%,42%,0%,39%,21%,70.0%,51.0%
First,David Ferrer,6-3 6-4 6-4,2014,m,David Ferrer,Alejandro Gonzalez,53%,68%,64%,57%,54%,25%,67%,71%,53%,41%,82%,52%
First,Jarkko Nieminen,3-6 7-6(3) 6-7(3) 6-3 6-3,2014,m,Jarkko Nieminen,Dudi Sela,60%,68%,63%,63%,48%,44%,59%,53%,43%,43%,69%,47%
First,Nikolay Davydenko,3-6 6-3 3-6 6-3 6-4,2014,m,Nikolay Davydenko,Lukasz Kubot,77%,60%,73%,68%,35%,37%,29%,43%,45%,36%,67.0%,57.0%
First,Dmitry Tursunov,6-2 6-2 6-3,2014,m,Dmitry Tursunov,Michael Russell,53%,50%,75%,57%,51%,45%,67%,14%,49%,36%,66.0%,64.0%
First,Julien Benneteau,6-3 3-6 4-6 6-1 6-2,2014,m,Julien Benneteau,Pablo Carreno-Busta,66%,53%,71%,59%,55%,51%,37%,80%,45%,34%,70%,58%
First,Edouard Roger-Vasselin,6-4 7-6(5) 6-7(9) 6-2,2014,m,Edouard Roger-Vasselin,Carlos Berlocq,65%,57%,61%,59%,54%,52%,44%,31%,44%,41%,69.0%,60.0%
First,Tommy Robredo,6-1 6-7(7) 3-6 7-6(5) 8-6,2014,m,Tommy Robredo,Lukas Rosol,57%,51%,76%,77%,69%,45%,33%,43%,39%,27%,79%,64%
First,Richard Gasquet,7-5 6-4 6-1,2014,m,Richard Gasquet,David Guez,67%,64%,74%,53%,50%,44%,70%,43%,50%,34%,73%,36%
First,Tomas Berdych,6-3 6-4 6-3,2014,m,Tomas Berdych,Aleksandr Nedovesov,66%,61%,83%,65%,79%,47%,29%,0%,42%,18%,57%,69%
First,Florian Mayer,6-4 6-2 6-4,2014,m,Florian Mayer,Denis Kudla,58%,59%,75%,61%,63%,46%,45%,33%,45%,30%,79%,60%
First,Guillermo Garcia-Lopez,7-5 5-2 ret.,2014,m,Guillermo Garcia-Lopez,Tommy Haas,58%,52%,77%,71%,44%,38%,100%,50%,45%,37%,60%,100%
First,Stanislas Wawrinka,6-4 4-1 ret.,2014,m,Stanislas Wawrinka,Andrey Golubev,63%,64%,91%,50%,46%,50%,44%,50%,50%,26%,93%,50%
First,Alejandro Falla,6-7(2) 6-2 6-2 6-3,2014,m,Alejandro Falla,Mikhail Kukushkin,60%,55%,68%,64%,47%,33%,36%,29%,50%,41%,73.0%,58.0%
First,Pablo Andujar,6-4 6-2 6-4,2014,m,Pablo Andujar,Albert Ramos,73%,61%,61%,63%,63%,30%,58%,43%,50%,39%,64.0%,76.0%
First,Denis Istomin,6-4 7-5 6-4,2014,m,Denis Istomin,Marcos Baghdatis,77%,52%,70%,80%,63%,33%,31%,11%,43%,31%,75%,70%
First,Fabio Fognini,6-3 6-2 ret.,2014,m,Fabio Fognini,Alex Jr. Bogomolov,47%,54%,69%,58%,52%,33%,30%,33%,54%,40%,67%,67%
First,Novak Djokovic,6-3 7-6(2) 6-1,2014,m,Novak Djokovic,Lukas Lacko,68%,61%,83%,63%,68%,50%,50%,33%,42%,22%,89%,73%
First,Mikhail Youzhny,6-1 6-4 6-2,2014,m,Mikhail Youzhny,Jan-Lennard Struff,69%,49%,66%,65%,63%,32%,78%,40%,52%,35%,63%,68%
First,Kevin Anderson,2-6 6-7(4) 6-4 6-4 6-4,2014,m,Kevin Anderson,Jiri Vesely,63%,57%,83%,75%,52%,61%,21%,33%,31%,29%,65.0%,63.0%
First,Ernests Gulbis,1-6 6-4 7-6(4) 6-2,2014,m,Ernests Gulbis,Juan Monaco,53%,76%,78%,75%,47%,44%,60%,25%,32%,37%,57%,69%
First,Alexandr Dolgopolov,7-5 7-5 6-2,2014,m,Alexandr Dolgopolov,Richard Berankis,58%,50%,79%,68%,61%,46%,31%,33%,43%,29%,100%,55%
First,Leonardo Mayer,6-1 6-3 6-1,2014,m,Leonardo Mayer,Albert Montanes,61%,60%,94%,56%,62%,33%,50%,56.0%,53%,19%,70.0%,58.0%
First,Kenny de Schepper,7-5 7-5 7-6(2),2014,m,Kenny de Schepper,Di Wu,62%,60%,76%,61%,40%,58%,36%,15%,40%,38%,66%,66%
First,Adrian Mannarino,3-6 6-3 6-0 5-7 6-4,2014,m,Adrian Mannarino,Steve Johnson,58%,53%,64%,72%,63%,45%,64%,67%,40%,36%,70.0%,58.0%
First,Vasek Pospisil,6-4 6-3 6-4,2014,m,Vasek Pospisil,Samuel Groth,67%,65%,90%,67%,52%,52%,40%,0%,39%,23%,60%,47%
First,Matthew Ebden,6-3 7-5 4-6 0-6 6-3,2014,m,Matthew Ebden,Nicolas Mahut,67%,64%,66%,72%,52%,47%,50%,40%,37%,39%,76%,52%
First,Dominic Thiem,5-7 6-4 6-3 7-6(3),2014,m,Dominic Thiem,Joao Sousa,55%,65%,79%,61%,51%,60%,42%,38%,40%,34%,100.0%,53.0%
First,Jerzy Janowicz,1-6 4-6 6-4 6-2 6-1,2014,m,Jerzy Janowicz,Jordan Thompson,64%,60%,72%,73%,46%,40%,56%,30%,40%,38%,67%,64%
First,Damir Dzumhur,6-4 6-2 6-1,2014,m,Damir Dzumhur,Jan Hajek,53%,73%,86%,52%,59%,27%,58%,50%,55%,26%,79.0%,56.0%
First,Ivan Dodig,7-6(8) 6-3 7-6(4),2014,m,Ivan Dodig,Ivo Karlovic,83%,66%,82%,82%,71%,53%,67%,33%,28%,20%,69%,48%
First,Sam Querrey,6-3 6-2 3-6 7-6(3),2014,m,Sam Querrey,Santiago Giraldo,63%,65%,81%,70%,51%,55%,57%,29%,35%,30%,82%,50%
